PID,PubDate,Translator,NoPages,BGroup,AID,PubID
1,1/11/2020,Lê Chu Cầu,227,literature,1,1
2,15/11/2020,,,comic,2,2
5,10/07/2013,,300,literature,3,2
6,10/7/2014,,317,literature,4,3
7,1/4/2017,Nguyễn Hữu Dũng,514,literature,5,2
8,1/2/2017,Nguyễn Minh Thiên Kim,270,economy,6,4
9,2021,Thu Phương,236,economy,7,5
